PASANG		[pasang] pasang
ALARM		[alarm] alarm
HAPUS		[hapus] hapus
SIL			[sil] sil
NYALAKAN	[nyalakan] nyalakan
MATIKAN		[matikan] matikan
PUKUL		[pukul] pukul
JAM			[jam] jam
SETENGAH	[setengah] setengah
SEPEREMPAT	[seperempat] seperempat
KURANG		[kurang] kurang
LEBIH		[lebih] lebih
NOL			[nol] nol
SATU		[satu] satu
DUA			[dua] dua
TIGA		[tiga] tiga
EMPAT		[empat] empat
LIMA		[lima] lima
ENAM		[enam] enam
TUJUH		[tujuh] tujuh
DELAPAN		[delapan] delapan
SEMBILAN	[sembilan] sembilan
SEPULUH		[sepuluh] sepuluh
SEBELAS		[sebelas] sebelas
BELAS		[belas] belas
PULUH		[puluh] puluh
