,sentence,physics,race,religion
0,I don't get why negroes always traveling to white countries. Take your ass to Africa!,-1,1,-1
1,All of you fattys need to stop trying to make 'fat' a thing.,1,-1,-1
2,lmao how funny that true does know where the camara at lol,-1,-1,-1
3,@art_is_forever when did she publicly thank him?,-1,-1,-1
4,Post a picture of Khloe already!!!!! Come on!!!!,-1,-1,-1
5,@progreenlc no we don't. When did he become the poster child for faithful partner? Please. They all do it. He just got caught.,-1,-1,-1
6,@art_is_forever thank her forrrr......,-1,-1,-1
7,"Thank you Coach James, you will be Miss assistant lue🤦🏽‍♀️",-1,-1,-1
8,Respect,-1,-1,-1
9,Here is a Halloween costume ...Can you be a father to you son for a day?,-1,-1,-1
10,Why don't you post your SON so ridiculous. Ur a slave to white people make me sick to my stomach 🤮,-1,1,-1
11,@giselle_is_my_name if you really have to ask how then please keep stanning 😂😂,-1,-1,-1
12,aree u even involved in your daughters life?,-1,-1,-1
13,SAME,-1,-1,-1
14,Can't believe you dissed the raps and y'all are 0 in 6 now,-1,-1,-1
15,@gabyby22 fathering a child has nothing to do with committing to khloe. You can be a good father without staying with the mother of your child,-1,-1,-1
16,Into supreme?,-1,-1,-1
17,@anizyx How is he breaking his daughter's heaim waiting?,-1,-1,-1
18,@giselle_is_my_name the previous post boo boo,-1,-1,-1
19,Amazing 😍,-1,-1,-1
20,@lizthe_blessedone oh yes that lil cutie... sorry i cant remember thr son cause Tristan wouldnt grace us with his image... smh,-1,-1,-1
21,@nancytsidley she didn't do anything,-1,-1,-1
22,@imjennaburgess just here for the comments 🍿🍿,-1,-1,-1
23,@champerssweetie oh your white you have no say sorry,-1,1,-1
24,@princessm5529 your opinion is irrelevant,-1,-1,-1
25,Omg True is your mini! #twins,-1,-1,-1
26,Swaggin on em,-1,-1,-1
27,Dats not a Drip💀💀💀,-1,-1,-1
28,The comments are great @chloemefleh,-1,-1,-1
29,Is it me or am I the only one who gets a very gay vibe of energy from @realtristan13 ?.. please let me know down below in the comments.,-1,-1,-1
30,So cool,-1,-1,-1
31,God BLESS,-1,-1,0
32,LOLol this guys doing charity .. who allowed that 🤦‍♀️,-1,-1,-1
33,This Dress 💗,-1,-1,-1
34,Guys It was The past. Just forget about what he did in the past. He's Better Person now.,-1,-1,-1
35,Oh your date wasn't the many girls you are dming,-1,-1,-1
36,He's a horrible animal 🤮🤮,1,-1,-1
37,@zachs_pix lol hahaa,-1,-1,-1
38,Nice outfit!,-1,-1,-1
39,"Congrats on 8 years of basketball in the nba!! However, the cavs will lose 50 games this year!! #justanobservation",-1,-1,-1
40,You have some great shots in your gallery! I mean I liked them 😊,-1,-1,-1
41,Garbage,1,-1,-1
42,"Y'all aint doing NOTHING this season! Tryna roast Toronto GTFOH, We 6-0 while y'all 0-5 😂😂😂",-1,-1,-1
43,We still eastern conference champs 😂😂😂 @realtristan13 🗑,-1,-1,-1
44,@_loyaltycc and I'm not a Cavs fan.,-1,-1,-1
45,You guys really are the team to beat 😂😂😂,-1,-1,-1
46,East still goes thru 0-6 cavs ? 🤣😂,-1,-1,-1
47,The look of not winning a game all season,-1,-1,-1
48,Nice flick 👍🏾,-1,-1,-1
49,U never post khloe or true..cmon. Not cool,-1,-1,-1
50,"@daxpodollan 🤦🏼‍♀️ if I threw a stick, you'd leave, right?",-1,-1,-1
51,@miss_n_emily wtf are you talking about,-1,-1,-1
52,❤️ @andersonvarejao18 it's spectacular! Brazil loves,-1,-1,-1
53,@biiancadraws lol...is this in Eminem's puppet voice cause thats how I said it,-1,-1,-1
54,@karlapink me too😂😂😂😂,-1,-1,-1
55,You're Canadian??,-1,0,-1
56,Canada doesnt even claim you,-1,1,-1
57,friends,-1,-1,-1
58,"@steveostick thank you for realizing this, @colettecora",-1,-1,-1
59,@steveostick hahaha I suppogrammar awareness 😏,-1,-1,-1
60,It's “than” lmao😂😂😂,-1,-1,-1
61,Stupidd 🤮🤮🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻,1,-1,-1
62,Yaasss👏🙌,-1,-1,-1
63,I loved when u were in Cleveland want u to come back,-1,-1,-1
64,Who raked the beach?,-1,-1,-1
65,@unbreakablebond9 Haha true,-1,-1,-1
66,@khloekardashian he doesn't deserve you,-1,-1,-1
67,@khloekardashian that's because he doesn't love you 😞,-1,-1,-1
68,@unbreakablebond9 screaming 😭😂,-1,-1,-1
69,@khloekardashian I understand there is a child involved not that easy to everyone commenting. Stay strong hun,-1,-1,-1
70,@khloekardashian leave him,-1,-1,-1
71,@badbitch_des damn,-1,-1,-1
72,Maybe if u did less of this and more practicing y'all wouldn't be 0-5,-1,-1,-1
73,🤢🤢🤢,-1,-1,-1
74,Khloe it's time u wake up to reality,-1,-1,-1
75,Now we know why Lebron left...,-1,-1,-1
76,@khloekardashian you were there? He needs to post some pics of you and him.,-1,-1,-1
77,@khloekardashian It is hard to reconcile the fact you stayed with this man!!!How could he!Let me not say anymore for your sake,-1,-1,-1
78,@lau_yee ok this d print is outrageous,-1,-1,-1
79,And why you so tall even.,0,-1,-1
80,A kept man!,-1,-1,-1
81,"@khloekardashian on everg pic? He doesnt wasnt Nyone to know you were there honey, you cant be this dumb even with all that silicone",1,-1,-1
82,this aint it,-1,-1,-1
83,@khloekardashian oh sweetie.,-1,-1,-1
84,@khloekardashian I feel you! My husband NEVER photo credits me 😩😂😅,-1,-1,-1
85,What parish is this in?,-1,-1,-1
86,Hahahha wtf is this outfit @sagouzzal,0,-1,-1
87,@sagouzzal it's a romper? Hahahh,0,-1,-1
88,@ncmbz non its a shiand shorts,0,-1,-1
89,Kloeh shopping for you??? No wonder,-1,-1,-1
90,@casemcgarvey so much shade,-1,-1,-1
91,Okay but where did you buy this?????,-1,-1,-1
92,He look fem,0,-1,-1
93,@khloekardashian that's how you know he's no loyal.,-1,-1,-1
94,Looking real sweet 🤣,-1,-1,-1
95,Man fashionnova on fleek 😂😂,0,-1,-1
96,"You're so full of yourself @realtristan13 😱😱
 You barely have any pictures of Khloe and only one of True.. you clearly don't love your daughter if you can post so much about yourself and nothing about her😲🤷🏽‍♀️",-1,-1,-1
97,You looking for a new guy.,-1,-1,-1
98,D-U-N-K bro! Jesus,-1,-1,0
99,Yeah bro ‼️,-1,-1,-1
100,dam u good as hell,-1,-1,-1
101,Awesome!,-1,-1,-1
102,Why u didn't do this with LeBron?,-1,-1,-1
103,@nuvo333 haha he ain't playing against nba people here that's why😂,-1,-1,-1
104,@ekrickyyy It's not even that.. he's just shooting with more conviction here. It's a mental thing really.,-1,-1,-1
105,Garbage! In a real game he can't even make a simple layup! Stop,1,-1,-1
106,Steph still out rebounded you....,-1,-1,-1
107,Yea idk why you posted this you garbage in the league 😂😂😂,1,-1,-1
