,sentence,physics,race,religion
0,I don't get why negroes always traveling to white countries. Take your ass to Africa!,0,1,0
1,Why don't you post your SON so ridiculous. Ur a slave to white people make me sick to my stomach 🤮,0,1,0
2,@champerssweetie oh your white you have no say sorry,0,1,0
3,You're Canadian??,0,1,0
4,Canada doesnt even claim you,0,1,0
5,Young handsome black baller he does not need to be committed and is not married! Just have fun while young marriage and relationships come after growth do you @realist1one I have five boys I tell them the same have fun with the young ladies while you're young you'll learn and grow best that way,0,1,0
6,Toronto did something good 💯 @reanna.t_ . Proud citizen 😅,0,1,0
7,Aren't u from Brampton ? 🤔,0,1,0
8,Boy your from brampton dawg,0,1,0
9,I am from iran i love you💏,0,1,0
10,Hi. 🇮🇷 I am an Iranian person and I need your helps to cash some money from my page . Becouse the living in here is difficult ... please help me by #following_me,0,1,0
11,So you're okay with black men but not black women....okay.....,0,1,0
12,"Whutup , yo man do u know that on South Ural there is a real prison term for this dope shit and every fucking day boys from hood go to seat for 10 years",0,1,0
13,"Nigga shut yo ass up with that ""iron and soul"" head ass boi u just hitten a blut u dont need no caption",0,1,0
14,@jimmy_bluntz I'm not poor country ..🤣🤣🤣.. many people black work in here🤔🤔🧐,0,1,0
15,@betina_bb what my country not poor ..🤣🤣many oil and coal and Freepo🤣🤣🤔.. you need Learing about my country 🤣🤣,0,1,0
16,"Thank you for visiting Bali of Indonesia and we proud of it and we proud of Balinese people, Also I hope Mr @aryawedakarna will make better Bali for everyone and keep away Bali from the radikalisme the gedibal arab.",0,1,1
17,"@leri_platipus I just visited java and Bali. Muslim life dominated java, Hinduism dominated Bali. The cultures felt completely different to a westerner. Bali was far more open, peaceful and far less conservative.",0,1,1
18,@arthur_8008 there is a country name england from where english goes to everywhere in world. Football is english word. It ⚽️,0,1,0
19,@minilessi1 who invented it was english named it football. Foot+ball. Other one is rugby.,0,1,0
20,"@sophia.1.3.1.3.1.3 well some people are from different regions, and American football doesn't exist in every other place, so technically the Americans are incorrect.",0,1,0
21,In Asia and other continent is football but in America soccer,0,1,0
22,In American football you use hands more than foots)),0,1,0
23,Americans! Always Ruining the Classics🤦‍♀️,0,1,0
24,It's soccer in Australia,0,1,0
25,Looooved South Africa! 😍 Just came back home last Friday from a two week solo vacation. What a beautiful country 💫 and the people are incredibly open & generous. And not to forget the cute language Afrikaans. As a Dutchie it's quite understandible.,0,1,0
26,"Def check out @espaciomalcolm and the AfroArgentine org DIAFAR. Tell our hermano Federico we said hi! 👋🏾 October is neighboring Uruguay's official Mes del Tango, Tango Month. Tango was born on the Rio Plata, the area where modern-day, Argentina and Uruguay meet. It was influenced by dances from candombe ceremonies and flourished in the brothels and the marginalized, overcrowded, conventillos of the suburbs of Montevideo and Buenos Aires, where Afrodescendants, immigrants, and gauchos, poor cowboys from the Pampas region who were displaced after the land was given to the elite and white immigrants, were relegated to live. The words “tambo” and “tango” were used to refer to “gatherings of newly arrived Africans to dance to drums,” which colonial powers attempted to ban. The word also referred to the house where Black people carried out their dances.",0,1,0
