,sentence,physics,race,religion
0,I don't get why negroes always traveling to white countries. Take your ass to Africa!,0,1,0
1,lmao how funny that true does know where the camara at lol,0,0,0
2,@art_is_forever when did she publicly thank him?,0,0,0
3,Post a picture of Khloe already!!!!! Come on!!!!,0,0,0
4,@progreenlc no we don't. When did he become the poster child for faithful partner? Please. They all do it. He just got caught.,0,0,0
5,@art_is_forever thank her forrrr......,0,0,0
6,"Thank you Coach James, you will be Miss assistant lue🤦🏽‍♀️",0,0,0
7,Respect,0,0,0
8,Here is a Halloween costume ...Can you be a father to you son for a day?,0,0,0
9,Why don't you post your SON so ridiculous. Ur a slave to white people make me sick to my stomach 🤮,0,1,0
10,@giselle_is_my_name if you really have to ask how then please keep stanning 😂😂,0,0,0
11,aree u even involved in your daughters life?,0,0,0
12,SAME,0,0,0
13,Can't believe you dissed the raps and y'all are 0 in 6 now,0,0,0
14,@gabyby22 fathering a child has nothing to do with committing to khloe. You can be a good father without staying with the mother of your child,0,0,0
15,Into supreme?,0,0,0
16,@anizyx How is he breaking his daughter's heaim waiting?,0,0,0
17,@giselle_is_my_name the previous post boo boo,0,0,0
18,Amazing 😍,0,0,0
19,@lizthe_blessedone oh yes that lil cutie... sorry i cant remember thr son cause Tristan wouldnt grace us with his image... smh,0,0,0
20,@nancytsidley she didn't do anything,0,0,0
21,@imjennaburgess just here for the comments 🍿🍿,0,0,0
22,@champerssweetie oh your white you have no say sorry,0,1,0
23,@princessm5529 your opinion is irrelevant,0,0,0
24,Omg True is your mini! #twins,0,0,0
25,Swaggin on em,0,0,0
26,Dats not a Drip💀💀💀,0,0,0
27,The comments are great @chloemefleh,0,0,0
28,Is it me or am I the only one who gets a very gay vibe of energy from @realtristan13 ?.. please let me know down below in the comments.,0,0,0
29,So cool,0,0,0
30,God BLESS,0,0,1
31,LOLol this guys doing charity .. who allowed that 🤦‍♀️,0,0,0
32,This Dress 💗,0,0,0
33,Guys It was The past. Just forget about what he did in the past. He's Better Person now.,0,0,0
34,Oh your date wasn't the many girls you are dming,0,0,0
35,@zachs_pix lol hahaa,0,0,0
36,Nice outfit!,0,0,0
37,"Congrats on 8 years of basketball in the nba!! However, the cavs will lose 50 games this year!! #justanobservation",0,0,0
38,You have some great shots in your gallery! I mean I liked them 😊,0,0,0
39,"Y'all aint doing NOTHING this season! Tryna roast Toronto GTFOH, We 6-0 while y'all 0-5 😂😂😂",0,0,0
40,We still eastern conference champs 😂😂😂 @realtristan13 🗑,0,0,0
41,@_loyaltycc and I'm not a Cavs fan.,0,0,0
42,You guys really are the team to beat 😂😂😂,0,0,0
43,East still goes thru 0-6 cavs ? 🤣😂,0,0,0
44,The look of not winning a game all season,0,0,0
45,Nice flick 👍🏾,0,0,0
46,U never post khloe or true..cmon. Not cool,0,0,0
47,"@daxpodollan 🤦🏼‍♀️ if I threw a stick, you'd leave, right?",0,0,0
48,@miss_n_emily wtf are you talking about,0,0,0
49,❤️ @andersonvarejao18 it's spectacular! Brazil loves,0,0,0
50,@biiancadraws lol...is this in Eminem's puppet voice cause thats how I said it,0,0,0
51,@karlapink me too😂😂😂😂,0,0,0
52,You're Canadian??,0,1,0
53,Canada doesnt even claim you,0,1,0
54,friends,0,0,0
55,"@steveostick thank you for realizing this, @colettecora",0,0,0
56,@steveostick hahaha I suppogrammar awareness 😏,0,0,0
57,It's “than” lmao😂😂😂,0,0,0
58,Yaasss👏🙌,0,0,0
59,I loved when u were in Cleveland want u to come back,0,0,0
60,Who raked the beach?,0,0,0
61,@unbreakablebond9 Haha true,0,0,0
62,@khloekardashian he doesn't deserve you,0,0,0
63,@khloekardashian that's because he doesn't love you 😞,0,0,0
64,@unbreakablebond9 screaming 😭😂,0,0,0
65,@khloekardashian I understand there is a child involved not that easy to everyone commenting. Stay strong hun,0,0,0
66,@khloekardashian leave him,0,0,0
67,@badbitch_des damn,0,0,0
68,Maybe if u did less of this and more practicing y'all wouldn't be 0-5,0,0,0
69,🤢🤢🤢,0,0,0
70,Khloe it's time u wake up to reality,0,0,0
71,Now we know why Lebron left...,0,0,0
72,@khloekardashian you were there? He needs to post some pics of you and him.,0,0,0
73,@khloekardashian It is hard to reconcile the fact you stayed with this man!!!How could he!Let me not say anymore for your sake,0,0,0
74,@lau_yee ok this d print is outrageous,0,0,0
75,A kept man!,0,0,0
76,this aint it,0,0,0
77,@khloekardashian oh sweetie.,0,0,0
78,@khloekardashian I feel you! My husband NEVER photo credits me 😩😂😅,0,0,0
79,What parish is this in?,0,0,0
80,Kloeh shopping for you??? No wonder,0,0,0
81,@casemcgarvey so much shade,0,0,0
82,Okay but where did you buy this?????,0,0,0
83,@khloekardashian that's how you know he's no loyal.,0,0,0
84,Looking real sweet 🤣,0,0,0
85,"You're so full of yourself @realtristan13 😱😱
 You barely have any pictures of Khloe and only one of True.. you clearly don't love your daughter if you can post so much about yourself and nothing about her😲🤷🏽‍♀️",0,0,0
86,You looking for a new guy.,0,0,0
87,D-U-N-K bro! Jesus,0,0,1
88,Yeah bro ‼️,0,0,0
89,dam u good as hell,0,0,0
90,Awesome!,0,0,0
91,Why u didn't do this with LeBron?,0,0,0
92,@nuvo333 haha he ain't playing against nba people here that's why😂,0,0,0
93,@ekrickyyy It's not even that.. he's just shooting with more conviction here. It's a mental thing really.,0,0,0
94,Steph still out rebounded you....,0,0,0
95,Where tf was this last year??? @rpate20,0,0,0
96,@ajskiba23 he's playing YMCA level competition,0,0,0
97,Why you couldn't do that in the finals 🤦🏾‍♂️,0,0,0
98,How good is this @illestbird,0,0,0
99,Weakness in the same way haha,0,0,0
100,He wanna be a guard so bad,0,0,0
101,@marlsreidofficial wow! Footage has emerged of me at my year 6 basketball carnival,0,0,0
102,You can swish that 3 but not in a game,0,0,0
103,get right and play right,0,0,0
104,@dwyanewade @realtristan13 this what you posed to be doing with LeBron,0,0,0
105,Awesome!,0,0,0
106,Where the girl at,0,0,0
107,Thanks for following,0,0,0
108,Teach them kids how to be a great father/ husband!,0,0,0
109,I'm in the video,0,0,0
110,Made my day,0,0,0
111,@grateful_queen aren't we all here for that 😂😂😂,0,0,0
112,Super!,0,0,0
113,Young handsome black baller he does not need to be committed and is not married! Just have fun while young marriage and relationships come after growth do you @realist1one I have five boys I tell them the same have fun with the young ladies while you're young you'll learn and grow best that way,0,1,0
114,Well done Tristan👍,0,0,0
115,Better love to come home to see your daughter,0,0,0
116,"""Lord have mercy!""",0,0,0
117,Is khloe still in Cleveland Ohio They give To me and I just write it,0,0,0
118,I wanna go to this @danny_25_92,0,0,0
119,@khloekardashian dummy🤣🤣🤣,0,0,0
120,Dare u to say hi to me,0,0,0
121,Khloe is a hero for forgiving you bro,0,0,0
