,sentence,physics,race,religion
0,God BLESS,0,0,1
1,D-U-N-K bro! Jesus,0,0,1
2,😇 tell the world that I am the Messiah😇,0,0,1
3,"Let Lionel Richie know I am the Messiah,",0,0,1
4,You are a God. I'm about to get your face tatted on me. How about a celebration party after?,0,0,1
5,Masha Allah🌟,0,0,1
6,"Good day everyone 
 my name is olaide saka
 i just got admission to the federal polytechnic bida Niger state.
 please people i need 10k before weekend the deadline is Friday...
 thank you very much God bless you Saka olaide 3101263244",0,0,1
7,"Thank you for visiting Bali of Indonesia and we proud of it and we proud of Balinese people, Also I hope Mr @aryawedakarna will make better Bali for everyone and keep away Bali from the radikalisme the gedibal arab.",0,1,1
8,"@leri_platipus I just visited java and Bali. Muslim life dominated java, Hinduism dominated Bali. The cultures felt completely different to a westerner. Bali was far more open, peaceful and far less conservative.",0,1,1
9,@fethy.ramsey bali is Hindu,0,0,1
10,@fethy.ramsey I live in Indonesia. The majority of religions in Bali re Hinduism. Indonesia has 5 religions.....so its not only Islam/Muslim. But we live in peace and respect each other. So...pls dont say something that isn't true. Thanks,0,0,1
11,@fethy.ramsey yea The largest population in Indonesia is Muslim but Indonesia isn't Islamic country. This is true,0,0,1
12,@realberniceburgosx amen,0,0,1
13,@realberniceburgosx amen In Jesus name,0,0,1
14,amen.,0,0,1
15,IS THIS A SIGN FROM GOD cause I literally was crying about life awhile ago,0,0,1
16,You a bible thumper now wtf going on with your title ???,0,0,1
17,@badbadnelebad_ this happens when you were out partying the night before then unyoko says uyaEkerk like it or not azophuma amademoni then you fall asleep in church💔💔💔😭😭,0,0,1
18,Your allowed to sleep in church😊😊 its no sin i sleep in church to😊😊,0,0,1
19,"Omggg Zach, you're amazing, but I can't understand how there's so many people there also. Was it a set up or did this take place properly during church service 😂🙈",0,0,1
20,Blessing ... lovely shots,0,0,1
21,Amin,0,0,1
22,“We're so busy getting offended that we don't let the conviction sink through and do its job” 🙌🏾 #church,0,0,1
23,"Soooo hard to choose but we're going to put a vote in for 1. Halstatt, Austria (for the most picturesque of views!), 2. Sarajevo, Bosnia & Herzegovina (for the incredible history and the unique sight of mosques, churches and synagogues all within metres of each other) and 3. Stockholm (for the huge number of stunning and different viewpoints from all the islands / bridges!) 👌👌",0,0,1
24,@ToyaMiani: The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime,0,1,1
25,Sitting at the bar at work watching Walking Dead and all these fucking wetbacks decide to come in &amp; turn on their spic music. Jesus Christ,0,1,1
26,That pic is now circulated by Jihadis with a call to kill him. http://t.co/PUn8fNVBal #Saudi #ISIS #Syria,0,0,1
27,@RobProvince: Do I suppokilling terrorists..... yes. Will I still mock hypocrites..... HELL YES!,0,0,1
28,@_kivnaaa: @VivaLaKash &#128514;&#128514;&#128514; on God i be thinking that . lol people at school be showing me this nigguh videos . im like &#128563; he famous oss &#128514;,0,1,1
29,"I feel like everytime a muslim community is suffering we staraising money, why dont we raise our voice and demands to end this bs. In this case we can pressure the terroristic government of Saudia Arabia to stop this.",0,0,1
30,Inshallah.,0,0,1
31,God help us all,0,0,1
32,As Muslim I feel so sorry Muslims we are killing each other,0,0,1
33,Subhan'Allah💔,0,0,1
34,subhan Allah may Allah curse the wahhabists,0,0,1
